Names,Real prices,Credit prices
SAMSUNG GALAXY A04E 3/32GB BLACK,229.99,249.99
SAMSUNG GALAXY A04E 4/64GB BLACK,259.99,279.99
SAMSUNG Galaxy A24 6/128GB,499.99,549.99
Tecno SPARK 10 Pro 8/128GB,449.99,
Tecno SPARK 10 Pro 8/256GB,459.99,499.99
Tecno SPARK 10C 4/128 GB,299.99,319.99
Tecno SPARK Go 2023 3GB/64GB,239.99,259.99
SAMSUNG Galaxy A34 6/128GB,699.99,849.99
Samsung Galaxy Z Fold4,3499.99,4199.99
Samsung Galaxy Z Flip4,1999.99,2499.99
Samsung Galaxy M14 4/128GB,449.99,549.99
Samsung Galaxy M14 4/64GB,399.99,499.99
Redmi Note 12 4GB/128GB ,419.99,459.99
Redmi Note 12 6GB/128GB ,449.99,499.99
XİAOMİ Mİ 11 8/256GB,1899.99,1999.99
XİAOMİ 12T 8GB/128GB,1099.99,1199.99
XİAOMİ 13 8GB/256GB	,1899.99,1999.99
XİAOMİ 13 12GB/256GB,1999.99,2099.99
XİAOMİ Redmi Note 11 4/64GB	,429.99,459.99
XİAOMİ POCO M5 6GB/128GB	,449.99,479.99
XİAOMİ 11T Pro 5G 12/256GB	,1549.99,1699.99
XİAOMİ POCO M5 4GB/64GB	,389.99,419.99
Samsung Galaxy A54 6/128GB,929.99,999.99
Samsung Galaxy A54 8/256GB,1069.99,1149.99
Samsung Galaxy A14 4/128 GB ,369.99,399.99
Samsung Galaxy A14 4/64 GB ,319.99,349.99
XIAOMI 13 Lite 8GB/256GB,1019.99,1099.99
XIAOMI 13 Lite 8GB/128GB,979.99,1029.99
POCO X5 5G 8GB/256GB ,659.99,699.99
Motorola G13 4GB/128GB,369.99,399.99
HONOR X7a 4GB/128GB,449.99,
HONOR X8a 6GB/128GB,549.99,
HONOR X9a 6GB/128GB ,749.99,
ENERGIZER E280S,159.99,
XIAOMI 12 8/256GB,1439.99,1549.99
XIAOMI POCO X5 PRO 5G 8/256GB,839.99,899.99
ITEL 2163,39.99,
ENERGIZER E241S,139.99,
F+ B280,65.99,
ITEL 5626,59.99,
Samsung Galaxy S23 Ultra 12/256GB ,2719.99,3199.99
Samsung Galaxy S23 Ultra 12/512GB ,2999.99,3499.99
Samsung Galaxy S23+ 8/256GB,2069.99,2499.99
Samsung Galaxy S23 8/128GB ,1749.99,2149.99
Samsung Galaxy S23 8/256GB ,1889.99,2299.99
Xiaomi Redmi A1+ 2/32GB,209.99,219.99
TCL 10 PLUS 6GB/256GB,559.99,
TCL 10 SE 4GB/128GB,369.99,
Motorola Razr 2022 5G 8GB/256GB,2649.99,2750.00
Motorola Edge 30 Ultra 5G 12GB/256GB,2099.99,2499.99
Motorola Edge 30 Fusion 5G 12GB/256GB,1549.99,1699.99
Motorola G72 8GB/128GB,599.99,649.99
Motorola G32 6GB/128GB,439.99,479.99
Blackview BV5500 Plus 3/32GB Black,279.99,
Blackview BV4900 3/32GB,299.99,
Blackview A100 6/128GB ,399.99,
Blackview A95 8/128GB,499.99,
Blackview A80 Plus 4/64 GB,299.99,
Blackview A70 3/32GB Dual SIM,279.99,
Blackview A55 3/16GB DUAL SIM,259.99,
Realme C33 4/64GB,339.99,359.99
Realme C30s 2/32GB,229.99,269.99
Samsung Galaxy A73 5G 6/128GB,1169.99,
Samsung Galaxy A53 5G 8/256GB,929.99,999.99
Samsung Galaxy A33 5G 128GB,679.99,729.99
Samsung Galaxy A52 128GB,669.99,
HONOR 70 8GB/256GB,1199.99,
HONOR 70 8GB/128GB,1099.99,
HONOR X6 4GB/64GB ,399.99,
Xiaomi Poco C40 4/64 GB,299.99,319.99
SAMSUNG GALAXY A04S 3/32GB,280.99,309.99
SAMSUNG GALAXY A04S 4/64GB,299.99,329.99
Samsung Galaxy A04 3/32GB,259.99,279.99
Samsung Galaxy A04 4/64GB,279.99,309.99
Realme C21Y 4/64GB,289.99,319.99
Xiaomi Poco M5 4/128 GB,419.99,449.99
Tecno Spark 6 Go 2/32GB (KE5),209.99,229.99
TECNO POP 2F 1GB/16GB (B1f),99.99,
Tecno CAMON 19 Pro 8/128 GB,659.99,729.99
Tecno CAMON 19 6/128 GB,529.99,579.99
Tecno CAMON 19 NEO 6/128GB,459.99,529.99
Tecno POVA3 6/128GB,529.99,
Tecno SPARK 9 Pro 4/128 GB,399.99,449.99
Tecno POVA Neo 2 6/128 GB,429.99,479.99
Tecno POVA NEO 4/64GB,369.99,
Tecno POVA NEO 6/128GB,459.99,
Tecno POVA Neo 2 4/64GB,379.99,419.99
Tecno SPARK 8C 4/128GB,379.99,
